Obs ID,Date Observed,Number,Sex,Species,County,Survey Method
32212,15-Oct-25,5,Male,B. impatiens (Common eastern),Milwaukee,Incidental
32199,14-Oct-25,2,Male,B. impatiens (Common eastern),Walworth,Incidental
32200,14-Oct-25,1,Queen,B. impatiens (Common eastern),Dodge,Incidental
32198,13-Oct-25,2,Unknown,B. impatiens (Common eastern),Marquette,Small Area
32192,13-Oct-25,2,Male,B. impatiens (Common eastern),Walworth,Incidental
32185,12-Oct-25,2,Male,B. impatiens (Common eastern),Walworth,Incidental
32181,12-Oct-25,2,Male,B. impatiens (Common eastern),Walworth,Incidental
32197,12-Oct-25,1,Male,B. impatiens (Common eastern),Wood,Incidental
32172,11-Oct-25,2,Male,B. impatiens (Common eastern),Walworth,Incidental
32201,10-Oct-25,6,Male,B. impatiens (Common eastern),Dane,Incidental
32157,10-Oct-25,1,Male,B. impatiens (Common eastern),Outagamie,Incidental
32156,10-Oct-25,1,Male,B. impatiens (Common eastern),Walworth,Incidental
32155,9-Oct-25,1,Male,B. impatiens (Common eastern),Walworth,Incidental
32170,9-Oct-25,1,Male,B. impatiens (Common eastern),Dodge,Incidental
32136,8-Oct-25,2,Male,B. impatiens (Common eastern),Walworth,Incidental
32164,7-Oct-25,1,Male,B. impatiens (Common eastern),Wood,Incidental
32130,7-Oct-25,2,Male,B. impatiens (Common eastern),Walworth,Incidental
32165,7-Oct-25,50,Female,B. impatiens (Common eastern),Wood,Incidental
32122,6-Oct-25,8,Male,B. impatiens (Common eastern),Walworth,Incidental
32118,5-Oct-25,1,Female,B. citrinus (Lemon cuckoo),Dane,Incidental
32133,5-Oct-25,2,Unknown,B. impatiens (Common eastern),Winnebago,Incidental
32112,5-Oct-25,1,Male,B. impatiens (Common eastern),Milwaukee,Incidental
32113,5-Oct-25,10,Male,B. impatiens (Common eastern),Walworth,Incidental
32114,5-Oct-25,2,Female,B. impatiens (Common eastern),Brown,Incidental
32115,5-Oct-25,200,Male,B. impatiens (Common eastern),Brown,Incidental
32119,5-Oct-25,1,Male,B. impatiens (Common eastern),Iowa,Incidental
32121,4-Oct-25,1,Female,B. impatiens (Common eastern),Door,Incidental
32120,4-Oct-25,1,Queen,B. griseocollis (Brownbelted),Door,Incidental
32111,4-Oct-25,10,Male,B. impatiens (Common eastern),Walworth,Incidental
32109,4-Oct-25,1,Female,B. vagans (Half-black),Adams,Incidental
32148,3-Oct-25,3,Male,B. vagans (Half-black),Ozaukee,Incidental
32147,3-Oct-25,1,Queen,B. rufocinctus (Redbelted),Ozaukee,Incidental
32146,3-Oct-25,1,Male,B. rufocinctus (Redbelted),Ozaukee,Incidental
32144,3-Oct-25,1,Male,B. citrinus (Lemon cuckoo),Ozaukee,Incidental
32142,3-Oct-25,1,Queen,B. rufocinctus (Redbelted),Ozaukee,Incidental
32110,3-Oct-25,1,Male,B. ternarius (Tricolored),Bayfield,Incidental
32117,3-Oct-25,3,Female,B. impatiens (Common eastern),Outagamie,Incidental
32116,3-Oct-25,11,Male,B. impatiens (Common eastern),Outagamie,Incidental
32107,3-Oct-25,10,Male,B. impatiens (Common eastern),Walworth,Incidental
32106,3-Oct-25,1,Female,B. impatiens (Common eastern),La Crosse,Incidental
32105,3-Oct-25,67,Male,B. impatiens (Common eastern),La Crosse,Incidental
32104,3-Oct-25,1,Queen,B. impatiens (Common eastern),La Crosse,Incidental
32158,3-Oct-25,45,Male,B. impatiens (Common eastern),Sheboygan,Incidental
32160,3-Oct-25,17,Male,B. impatiens (Common eastern),Sheboygan,Incidental
32162,3-Oct-25,1,Male,B. citrinus (Lemon cuckoo),Sheboygan,Incidental
32163,3-Oct-25,2,Male,B. impatiens (Common eastern),Sheboygan,Incidental
32159,3-Oct-25,10,Female,B. impatiens (Common eastern),Sheboygan,Incidental
32145,3-Oct-25,5,Female,B. rufocinctus (Redbelted),Ozaukee,Incidental
32179,2-Oct-25,22,Male,B. impatiens (Common eastern),Sheboygan,Incidental
